templatedatasourceid:Key,templateid:Normal,name:String,type:String,providerclass:String,connectionstring:String
3090,3098,VMASTER,NULL,System.Data.SqlClient,Data Source=VMASTER;Initial Catalog=ValidationMaster;Integrated Security=True
3091,3099,VMASTER,NULL,System.Data.SqlClient,Data Source=VMASTER;Initial Catalog=ValidationMaster;Integrated Security=True
3092,3100,VMASTER,NULL,System.Data.SqlClient,Data Source=VMASTER;Initial Catalog=ValidationMaster;Integrated Security=True
3093,3101,VMASTER,NULL,System.Data.SqlClient,Data Source=VMASTER;Initial Catalog=ValidationMaster;Integrated Security=True
3094,3102,VMASTER,NULL,System.Data.SqlClient,Data Source=VMASTER;Initial Catalog=ValidationMaster;Integrated Security=True
3095,3103,VMASTER,NULL,System.Data.SqlClient,Data Source=VMASTER;Initial Catalog=ValidationMaster;Integrated Security=True
3096,3104,VMASTER,NULL,System.Data.SqlClient,Data Source=vmaster;Initial Catalog=ValidationMaster;Integrated Security=True
