templateid:Key,templatename:String,iscustom:Normal:,templatelocation:String,podlocation:String,active:Normal:,creationdate:Normal,reportcategory:String,categorygroup:Normal
3098,Draft-IQ-Document,1,C:\Program Files (x86)\ValidationMaster\reporting\templatefiles\Draft-IQ-Document.docx,C:\Program Files (x86)\ValidationMaster\reporting\podfiles\DraftTestDocument.rdlx,1,"DATEADD(day, -420, SYSUTCDATETIME())",IQ,1
3099,Draft-OQ-Document,1,C:\Program Files (x86)\ValidationMaster\reporting\templatefiles\Draft-OQ-Document.docx,C:\Program Files (x86)\ValidationMaster\reporting\podfiles\DraftTestDocument.rdlx,1,"DATEADD(day, -420, SYSUTCDATETIME())",OQ,2
3100,IQ-TestRunDocument,1,C:\Program Files (x86)\ValidationMaster\reporting\templatefiles\IQ-TestRunDocument.docx,C:\Program Files (x86)\ValidationMaster\reporting\podfiles\TestRunDocument.rdlx,1,"DATEADD(day, -420, SYSUTCDATETIME())",IQ,1
3101,OQ-TestRunDocument,1,C:\Program Files (x86)\ValidationMaster\reporting\templatefiles\OQ-TestRunDocument.docx,C:\Program Files (x86)\ValidationMaster\reporting\podfiles\TestRunDocument.rdlx,1,"DATEADD(day, -420, SYSUTCDATETIME())",OQ,2
3102,User Requirements Document,1,C:\Program Files (x86)\ValidationMaster\reporting\templatefiles\UserRequirementsDocument.docx,C:\Program Files (x86)\ValidationMaster\reporting\podfiles\UserRequirementsDocument.rdlx,1,"DATEADD(day, -420, SYSUTCDATETIME())",Requirements,3
3103,Requirements Traceability Matrix,1,C:\Program Files (x86)\ValidationMaster\reporting\templatefiles\RequirementsTraceabilityMatrix.docx,C:\Program Files (x86)\ValidationMaster\reporting\podfiles\RequirementsTraceabilityMatrix.rdlx,1,"DATEADD(day, -420, SYSUTCDATETIME())",Requirements,3
3104,ValidationMaster Project Audit Trail,1,C:\Program Files (x86)\ValidationMaster\reporting\templatefiles\ValidationMasterProjectAuditTrail.docx,C:\Program Files (x86)\ValidationMaster\reporting\podfiles\AuditTrail-Project.rdlx,1,"DATEADD(day, -420, SYSUTCDATETIME())",Audit,4
